image_name,camera
1_left.jpeg,1
1_right.jpeg,1
10_left.jpeg,1
10_right.jpeg,1
100_left.jpeg,1
100_right.jpeg,1
1000_left.jpeg,1
1000_right.jpeg,1
10000_left.jpeg,2
10000_right.jpeg,2
10001_left.jpeg,1
10001_right.jpeg,1
10002_left.jpeg,3
10002_right.jpeg,3
10003_left.jpeg,1
10003_right.jpeg,1
10004_left.jpeg,1
10004_right.jpeg,1
10005_left.jpeg,3
10005_right.jpeg,3
10006_left.jpeg,UNKNOWN
10006_right.jpeg,UNKNOWN
10007_left.jpeg,1
10007_right.jpeg,1
10008_left.jpeg,3
10008_right.jpeg,3
10009_left.jpeg,1
10009_right.jpeg,1
1001_left.jpeg,1
1001_right.jpeg,1
10010_left.jpeg,1
10010_right.jpeg,1
10011_left.jpeg,3
10011_right.jpeg,3
10012_left.jpeg,1
10012_right.jpeg,1
10013_left.jpeg,5
10013_right.jpeg,5
10014_left.jpeg,3
10014_right.jpeg,3
10015_left.jpeg,2
10015_right.jpeg,2
10016_left.jpeg,3
10016_right.jpeg,3
10017_left.jpeg,1
10017_right.jpeg,1
10018_left.jpeg,1
10018_right.jpeg,1
10019_left.jpeg,3
10019_right.jpeg,3
1002_left.jpeg,1
1002_right.jpeg,1
10020_left.jpeg,4
10020_right.jpeg,4
10021_left.jpeg,5
10021_right.jpeg,5
10022_left.jpeg,1
10022_right.jpeg,1
10023_left.jpeg,1
10023_right.jpeg,1
10024_left.jpeg,1
10024_right.jpeg,1
10025_left.jpeg,1
10025_right.jpeg,1
10026_left.jpeg,1
10026_right.jpeg,1
10027_left.jpeg,1
10027_right.jpeg,1
10028_left.jpeg,1
10028_right.jpeg,1
10029_left.jpeg,UNKNOWN
10029_right.jpeg,UNKNOWN
1003_left.jpeg,1
1003_right.jpeg,1
10030_left.jpeg,3
10030_right.jpeg,3
10031_left.jpeg,1
10031_right.jpeg,1
10032_left.jpeg,1
10032_right.jpeg,1
10033_left.jpeg,1
10033_right.jpeg,1
10034_left.jpeg,1
10034_right.jpeg,1
10035_left.jpeg,1
10035_right.jpeg,1
10036_left.jpeg,1
10036_right.jpeg,1
10037_left.jpeg,4
10037_right.jpeg,4
10038_left.jpeg,4
10038_right.jpeg,4
10039_left.jpeg,1
10039_right.jpeg,1
1004_left.jpeg,1
1004_right.jpeg,1
10040_left.jpeg,1
10040_right.jpeg,1
10041_left.jpeg,2
10041_right.jpeg,2
10042_left.jpeg,3
10042_right.jpeg,3
10043_left.jpeg,3
10043_right.jpeg,3
10044_left.jpeg,4
10044_right.jpeg,4
10045_left.jpeg,UNKNOWN
10045_right.jpeg,UNKNOWN
10046_left.jpeg,4
10046_right.jpeg,4
10047_left.jpeg,1
